Ticker,Model,Precision,Specificity,Recall,good_model,min_precision_by_time,best_probability_threshold,init_percentage_of_1s,Model_type,PM_max_to_prevDayClose_ratio_class,PM_max_vs_PM_max_1dayago_class,AH_max_1dayago_to_Close_class,open_to_prev_close_class,day_of_week,high_quad_q_rel_class,Close_to_prevDayClose_class,features_length,PM_max_to_PM_min_ratio_class,Close_to_Close_1_day_ago_class,AH_max_1dayago_vs_prevDayClose_class,PM_min_to_Close_ratio_class,PM_max_to_dayOpen_ratio_class,PM_time_diff_class,dayOpen_to_prev2DayOpen_ratio_class,dayOpen_to_prevDayClose_class,Close_to_prevDayOpen_class,PM_range_to_close_ratio_class,prev2DayClose_to_prevDayClose_ratio_class,high_quad_p_rel_class,PM_min_to_prevDayOpen_ratio_class,Close_to_open_ratio_class,PM_max_to_Close_ratio_class,time_in_minutes,PM_min_to_prevDayClose_ratio_class,PM_max_to_prevDayOpen_ratio_class,PM_min_to_open_ratio_class,dayOpen_to_prevDayOpen_ratio_class,return_1d_to_return_2d_ratio_class,PM_range_to_open_ratio_class,high_slope_rel_class,return_2d_class,hist_close_ratio_class,AH_max_1dayago_vs_PM_max_class,Close_to_prevDayHigh_class,Close_to_EMA_48_class,Open_1_day_ago_to_Close_1_day_ago_ratio_class,date_after_0125
ODFL,XGB7,0.881578947368421,0.9142857142857143,0.432258064516129,1,0.825,0.94,51.34,XGB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKR,RF1a,0.9310344827586207,0.975,0.2488479262672811,0,0.73,0.57,47.23,RF,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,XGB18,0.8372093023255814,0.9717741935483871,0.27906976744186046,1,0.92,0.98,26.21,XGB,0.0,0.0,1.0,0.0,1.0,1.0,1.0,15,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,RF1a,0.9423076923076923,0.9828571428571429,0.24257425742574257,0,0.68,0.59,44.25,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WU,DT3,1.0,1.0,0.25,0,0.8,0.98,13.19,DT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,RF5,0.9736842105263158,0.9956521739130435,0.25170068027210885,-1,0.53,0.71,24.48,RF,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,XGB7,0.9518072289156626,0.9760479041916168,0.3761904761904762,1,0.9,0.98,38.83,XGB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,DT1,0.8888888888888888,0.9823008849557522,0.2119205298013245,-1,0.88,0.98,25.35,DT,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,RF5,1.0,1.0,0.23423423423423423,-1,0.7,0.67,27.75,RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,RF5,0.8918918918918919,0.9823008849557522,0.2185430463576159,0,0.73,0.86,37.47,RF,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
